Date;21619 - Exchange rate - Free - Euro (ask) - R$/c.m.u.;21620 - Exchange rate - Free - Euro (bid) - R$/c.m.u.;21621 - Exchange rate - Free - Japanese Yen (ask) - R$/c.m.u.;21622 - Exchange rate - Free - Japanese Yen (bid) - R$/c.m.u.;21623 - Exchange rate - Free - British Pound (ask) - R$/c.m.u.;21624 - Exchange rate - Free - British Pound (bid) - R$/c.m.u.;21633 - Exchange rate - Free - Australian Dollar (ask) - R$/c.m.u.;21634 - Exchange rate - Free - Australian Dollar (bid) - R$/c.m.u.;21635 - Exchange rate - Free - Canadian Dollar (ask) - R$/c.m.u.;21636 - Exchange rate - Free - Canadian Dollar (bid) - R$/c.m.u.
31/12/1998;1.4160954 ;1.4125364 ;0.0107410 ;0.0107140 ;2.00575 ;2.00121 ;0.740699 ;0.738261 ;0.783634 ;0.781828
04/01/1999;1.4358800 ;1.4222900 ;0.0107960 ;0.0107690 ;2.00897 ;2.00443 ;0.752836 ;0.750379 ;0.790942 ;0.789116
05/01/1999;1.4256600 ;1.4220800 ;0.0108590 ;0.0108310 ;2.00276 ;1.99822 ;0.754119 ;0.751659 ;0.798882 ;0.797025
06/01/1999;1.4072200 ;1.4036800 ;0.0107150 ;0.0106870 ;2.00410 ;1.99956 ;0.763761 ;0.761284 ;0.800244 ;0.798383
07/01/1999;1.4195600 ;1.4159800 ;0.0109000 ;0.0108730 ;2.00009 ;1.99555 ;0.772430 ;0.769940 ;0.800151 ;0.798292
08/01/1999;1.4053700 ;1.4018300 ;0.0109150 ;0.0108870 ;1.99331 ;1.98880 ;0.770078 ;0.767592 ;0.800455 ;0.798595
11/01/1999;1.3944500 ;1.3909300 ;0.0111430 ;0.0111150 ;1.97597 ;1.97148 ;0.776939 ;0.774440 ;0.803650 ;0.801789
12/01/1999;1.4024100 ;1.3988700 ;0.0107730 ;0.0107460 ;1.97800 ;1.97350 ;0.775078 ;0.772582 ;0.801063 ;0.799203
13/01/1999;1.5410500 ;1.5372700 ;0.0116660 ;0.0116370 ;2.17926 ;2.17444 ;0.836327 ;0.833667 ;0.865546 ;0.863594
14/01/1999;1.5380000 ;1.5342200 ;0.0115630 ;0.0115350 ;2.17783 ;2.17303 ;0.839030 ;0.836366 ;0.869033 ;0.867067
15/01/1999;1.6966000 ;1.6925100 ;0.0128680 ;0.0128360 ;2.42362 ;2.41840 ;0.930871 ;0.927969 ;0.961158 ;0.959049
18/01/1999;1.7872800 ;1.7830300 ;0.0134600 ;0.0134280 ;2.54671 ;2.54130 ;0.976756 ;0.973736 ;1.007510 ;1.005320
