Date;1 - Exchange rate - Free - United States dollar (sale) - 1 - c.m.u./US$;10813 - Exchange rate - Free - United States dollar (buy) - c.m.u./US$;Pandemia
31/12/1998;12.087;12.079;0
04/01/1999;12.078;12.070;0
05/01/1999;12.085;12.077;0
06/01/1999;12.096;12.088;0
07/01/1999;12.101;12.093;0
08/01/1999;12.104;12.096;0
11/01/1999;12.109;12.101;0
12/01/1999;12.114;12.106;0
13/01/1999;13.193;13.185;0
14/01/1999;13.194;13.186;0
15/01/1999;14.659;14.651;0
18/01/1999;15.384;15.376;0
19/01/1999;15.580;15.572;0
20/01/1999;15.735;15.727;0
21/01/1999;16.602;16.594;0
22/01/1999;17.049;17.041;0
25/01/1999;17.606;17.598;0
26/01/1999;18.770;18.762;0
27/01/1999;18.886;18.878;0
28/01/1999;19.206;19.198;0
29/01/1999;19.832;19.824;0
01/02/1999;19.638;19.630;0
02/02/1999;17.980;17.972;0
03/02/1999;17.709;17.701;0
04/02/1999;18.140;18.132;0
05/02/1999;18.317;18.309;0
08/02/1999;18.609;18.601;0
09/02/1999;19.333;19.325;0
10/02/1999;18.953;18.945;0
11/02/1999;18.868;18.860;0
12/02/1999;18.984;18.976;0
17/02/1999;19.179;19.171;0
18/02/1999;19.029;19.021;0
19/02/1999;19.208;19.200;0
22/02/1999;19.356;19.348;0
23/02/1999;20.128;20.120;0
24/02/1999;20.033;20.025;0
25/02/1999;20.351;20.343;0
26/02/1999;20.648;20.640;0
01/03/1999;20.284;20.276;0
02/03/1999;21.308;21.300;0
03/03/1999;21.647;21.639;0
04/03/1999;21.022;21.014;0
05/03/1999;19.934;19.926;0
08/03/1999;19.708;19.700;0
09/03/1999;19.056;19.048;0
10/03/1999;18.631;18.623;0
11/03/1999;18.784;18.776;0
12/03/1999;19.051;19.043;0
15/03/1999;18.825;18.817;0
16/03/1999;18.521;18.513;0
17/03/1999;18.777;18.769;0
18/03/1999;18.596;18.588;0
19/03/1999;18.507;18.499;0
22/03/1999;18.615;18.607;0
23/03/1999;18.516;18.508;0
24/03/1999;18.428;18.420;0
25/03/1999;18.100;18.092;0
26/03/1999;17.750;17.742;0
29/03/1999;17.655;17.647;0
30/03/1999;17.334;17.326;0
31/03/1999;17.220;17.212;0
05/04/1999;17.251;17.243;0
06/04/1999;17.314;17.306;0
07/04/1999;17.295;17.287;0
08/04/1999;17.206;17.198;0
09/04/1999;17.090;17.082;0
12/04/1999;17.054;17.046;0
13/04/1999;16.720;16.712;0
14/04/1999;16.575;16.567;0
15/04/1999;16.688;16.680;0
16/04/1999;16.700;16.692;0
19/04/1999;16.721;16.713;0
20/04/1999;17.101;17.093;0
22/04/1999;17.014;17.006;0
23/04/1999;16.851;16.843;0
26/04/1999;16.978;16.970;0
27/04/1999;17.069;17.061;0
28/04/1999;16.963;16.955;0
29/04/1999;16.676;16.668;0
30/04/1999;16.607;16.599;0
03/05/1999;16.735;16.727;0
04/05/1999;16.734;16.726;0
05/05/1999;16.847;16.839;0
06/05/1999;16.729;16.721;0
07/05/1999;16.712;16.704;0
10/05/1999;16.518;16.510;0
11/05/1999;16.468;16.460;0
12/05/1999;16.614;16.606;0
13/05/1999;16.510;16.502;0
14/05/1999;16.570;16.562;0
17/05/1999;16.670;16.662;0
18/05/1999;16.659;16.651;0
19/05/1999;16.636;16.628;0
20/05/1999;16.834;16.826;0
21/05/1999;16.963;16.955;0
24/05/1999;16.985;16.977;0
25/05/1999;17.480;17.472;0
26/05/1999;17.186;17.178;0
27/05/1999;17.137;17.129;0
28/05/1999;17.311;17.303;0
31/05/1999;17.240;17.232;0
01/06/1999;17.336;17.328;0
02/06/1999;17.542;17.534;0
04/06/1999;17.365;17.357;0
07/06/1999;17.412;17.404;0
08/06/1999;17.479;17.471;0
09/06/1999;17.491;17.483;0
10/06/1999;17.597;17.589;0
11/06/1999;17.730;17.722;0
14/06/1999;17.783;17.775;0
15/06/1999;17.892;17.884;0
16/06/1999;17.675;17.667;0
17/06/1999;17.605;17.597;0
18/06/1999;17.485;17.477;0
21/06/1999;17.636;17.628;0
22/06/1999;17.688;17.680;0
23/06/1999;17.848;17.840;0
24/06/1999;18.003;17.995;0
25/06/1999;17.904;17.896;0
28/06/1999;17.900;17.892;0
29/06/1999;17.672;17.664;0
30/06/1999;17.695;17.687;0
01/07/1999;17.575;17.567;0
02/07/1999;17.706;17.698;0
05/07/1999;17.663;17.655;0
06/07/1999;17.754;17.746;0
07/07/1999;17.815;17.807;0
08/07/1999;17.911;17.903;0
09/07/1999;18.044;18.036;0
12/07/1999;18.190;18.182;0
13/07/1999;18.392;18.384;0
14/07/1999;18.109;18.101;0
15/07/1999;18.281;18.273;0
16/07/1999;18.107;18.099;0
19/07/1999;17.929;17.921;0
20/07/1999;17.982;17.974;0
21/07/1999;18.171;18.163;0
22/07/1999;18.171;18.163;0
23/07/1999;18.147;18.139;0
26/07/1999;18.203;18.195;0
27/07/1999;18.173;18.165;0
28/07/1999;17.915;17.907;0
29/07/1999;17.939;17.931;0
30/07/1999;17.892;17.884;0
02/08/1999;18.115;18.107;0
03/08/1999;18.278;18.270;0
